Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85
Small Profit,100%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86
Small Profit,100%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,10 - 73,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,10 - 73,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139,40 - 90
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199,40 - 90
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139,40 - 90,35 - 87
Small Profit,100%,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199,40 - 90,35 - 87
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,11 - 73,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,11 - 73,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141,41 - 91
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201,41 - 91
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141,41 - 91,36 - 88
Small Profit,100%,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201,41 - 91,36 - 88
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,11 - 74,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,11 - 74,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142,41 - 92
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203,41 - 92
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142,41 - 92,36 - 89
Small Profit,100%,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203,41 - 92,36 - 89
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,16 - 78,11 - 75,93 - 145,93 - 145,144 - 144,145 - 145,144 - 144
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,16 - 78,11 - 75,93 - 145,93 - 145,144 - 205,206 - 206,144 - 205
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,16 - 78,93 - 145,93 - 145,144 - 144,145 - 145,144 - 144,42 - 93
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,16 - 78,93 - 145,93 - 145,144 - 205,206 - 206,144 - 205,42 - 93
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,93 - 145,93 - 145,144 - 144,145 - 145,144 - 144,42 - 93,37 - 90
Small Profit,100%,42 - 93,37 - 90,31 - 87,26 - 84,21 - 81,93 - 145,93 - 145,144 - 205,206 - 206,144 - 205,42 - 93,37 - 90
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,16 - 79,11 - 75,94 - 146,94 - 146,145 - 145,146 - 146,145 - 145
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,16 - 79,11 - 75,94 - 146,94 - 146,145 - 207,208 - 208,145 - 207
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,16 - 79,94 - 146,94 - 146,145 - 145,146 - 146,145 - 145,42 - 94
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,16 - 79,94 - 146,94 - 146,145 - 207,208 - 208,145 - 207,42 - 94
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,94 - 146,94 - 146,145 - 145,146 - 146,145 - 145,42 - 94,37 - 91
Small Profit,100%,42 - 94,37 - 91,32 - 88,26 - 85,21 - 82,94 - 146,94 - 146,145 - 207,208 - 208,145 - 207,42 - 94,37 - 91
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,16 - 79,11 - 76,95 - 147,95 - 147,146 - 146,147 - 147,146 - 146
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,16 - 79,11 - 76,95 - 147,95 - 147,146 - 209,210 - 210,146 - 209
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,16 - 79,95 - 147,95 - 147,146 - 146,147 - 147,146 - 146,42 - 95
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,16 - 79,95 - 147,95 - 147,146 - 209,210 - 210,146 - 209,42 - 95
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,95 - 147,95 - 147,146 - 146,147 - 147,146 - 146,42 - 95,37 - 92
Small Profit,100%,42 - 95,37 - 92,32 - 89,27 - 86,21 - 82,95 - 147,95 - 147,146 - 209,210 - 210,146 - 209,42 - 95,37 - 92
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,16 - 80,11 - 77,96 - 149,96 - 149,148 - 148,149 - 149,148 - 148
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,16 - 80,11 - 77,96 - 149,96 - 149,148 - 211,212 - 212,148 - 211
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,16 - 80,96 - 149,96 - 149,148 - 148,149 - 149,148 - 148,43 - 96
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,16 - 80,96 - 149,96 - 149,148 - 211,212 - 212,148 - 211,43 - 96
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,96 - 149,96 - 149,148 - 148,149 - 149,148 - 148,43 - 96,38 - 93
Small Profit,100%,43 - 96,38 - 93,32 - 90,27 - 86,22 - 83,96 - 149,96 - 149,148 - 211,212 - 212,148 - 211,43 - 96,38 - 93
