Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Decreasing,,84 - 89,79 - 86,74 - 83,69 - 80,64 - 77,59 - 74,54 - 71,49 - 68,45 - 65,40 - 62,35 - 59,30 - 56
Decreasing,,85 - 90,80 - 87,75 - 84,70 - 81,65 - 78,60 - 75,55 - 72,50 - 69,45 - 66,40 - 63,35 - 60,30 - 57
Decreasing,,85 - 90,80 - 87,75 - 84,70 - 82,65 - 79,60 - 76,55 - 73,50 - 70,45 - 67,40 - 64,35 - 61,30 - 58
Decreasing,,86 - 91,81 - 88,76 - 85,71 - 82,66 - 79,61 - 76,56 - 73,51 - 70,46 - 67,41 - 64,36 - 61,31 - 58
Decreasing,,87 - 92,82 - 89,77 - 86,72 - 83,67 - 80,62 - 77,57 - 74,51 - 71,46 - 68,41 - 65,36 - 62,31 - 59
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83
Small Profit,,40 - 89,35 - 86,30 - 83,25 - 80,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87,30 - 84
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 81,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87,30 - 84
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,10 - 73,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,10 - 73,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139,40 - 90
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,15 - 76,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199,40 - 90
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139,40 - 90,35 - 87
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,20 - 79,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199,40 - 90,35 - 87
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,90 - 140,90 - 140,139 - 139,140 - 140,139 - 139,40 - 90,35 - 87,30 - 84
Small Profit,,40 - 90,35 - 87,30 - 84,25 - 82,90 - 140,90 - 140,139 - 199,200 - 200,139 - 199,40 - 90,35 - 87,30 - 84
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,11 - 73,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,11 - 73,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141,41 - 91
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,16 - 76,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201,41 - 91
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141,41 - 91,36 - 88
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,21 - 79,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201,41 - 91,36 - 88
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,91 - 142,91 - 142,141 - 141,142 - 142,141 - 141,41 - 91,36 - 88,31 - 85
Small Profit,,41 - 91,36 - 88,31 - 85,26 - 82,91 - 142,91 - 142,141 - 201,202 - 202,141 - 201,41 - 91,36 - 88,31 - 85
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,11 - 74,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,11 - 74,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142,41 - 92
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,16 - 77,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203,41 - 92
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142,41 - 92,36 - 89
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,21 - 80,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203,41 - 92,36 - 89
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,92 - 143,92 - 143,142 - 142,143 - 143,142 - 142,41 - 92,36 - 89,31 - 86
Small Profit,,41 - 92,36 - 89,31 - 86,26 - 83,92 - 143,92 - 143,142 - 203,204 - 204,142 - 203,41 - 92,36 - 89,31 - 86
