Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81,28 - 78
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81,28 - 78
Small Profit,25%,37 - 83,33 - 81,28 - 78,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81,28 - 78,23 - 75
Small Profit,25%,37 - 83,33 - 81,28 - 78,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81,28 - 78,23 - 75
Small Profit,25%,37 - 83,33 - 81,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72
Small Profit,25%,37 - 83,33 - 81,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81,28 - 79
Small Profit,25%,38 - 84,33 - 81,28 - 79,24 - 76,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81,28 - 79
Small Profit,25%,38 - 84,33 - 81,28 - 79,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81,28 - 79,24 - 76
Small Profit,25%,38 - 84,33 - 81,28 - 79,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81,28 - 79,24 - 76
Small Profit,25%,38 - 84,33 - 81,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73
Small Profit,25%,38 - 84,33 - 81,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82,29 - 79
Small Profit,25%,38 - 85,33 - 82,29 - 79,24 - 77,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82,29 - 79
Small Profit,25%,38 - 85,33 - 82,29 - 79,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82,29 - 79,24 - 77
Small Profit,25%,38 - 85,33 - 82,29 - 79,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82,29 - 79,24 - 77
Small Profit,25%,38 - 85,33 - 82,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74
Small Profit,25%,38 - 85,33 - 82,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83,29 - 80
Small Profit,25%,38 - 86,34 - 83,29 - 80,24 - 77,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83,29 - 80
Small Profit,25%,38 - 86,34 - 83,29 - 80,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83,29 - 80,24 - 77
Small Profit,25%,38 - 86,34 - 83,29 - 80,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83,29 - 80,24 - 77
Small Profit,25%,38 - 86,34 - 83,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75
Small Profit,25%,38 - 86,34 - 83,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84,29 - 81
Small Profit,25%,39 - 87,34 - 84,29 - 81,24 - 78,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84,29 - 81
Small Profit,25%,39 - 87,34 - 84,29 - 81,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84,29 - 81,24 - 78
Small Profit,25%,39 - 87,34 - 84,29 - 81,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84,29 - 81,24 - 78
Small Profit,25%,39 - 87,34 - 84,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75
Small Profit,25%,39 - 87,34 - 84,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85,30 - 82
Small Profit,25%,39 - 88,34 - 85,30 - 82,25 - 79,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85,30 - 82
Small Profit,25%,39 - 88,34 - 85,30 - 82,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85,30 - 82,25 - 79
Small Profit,25%,39 - 88,34 - 85,30 - 82,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85,30 - 82,25 - 79
Small Profit,25%,39 - 88,34 - 85,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76
Small Profit,25%,39 - 88,34 - 85,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83
Small Profit,25%,40 - 89,35 - 86,30 - 83,25 - 80,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83
Small Profit,25%,40 - 89,35 - 86,30 - 83,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83,25 - 80
Small Profit,25%,40 - 89,35 - 86,30 - 83,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83,25 - 80
Small Profit,25%,40 - 89,35 - 86,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77
Small Profit,25%,40 - 89,35 - 86,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,10 - 72,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,15 - 75,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87,30 - 84
Small Profit,25%,40 - 90,35 - 87,30 - 84,25 - 81,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87,30 - 84
Small Profit,25%,40 - 90,35 - 87,30 - 84,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87,30 - 84,25 - 81
Small Profit,25%,40 - 90,35 - 87,30 - 84,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87,30 - 84,25 - 81
Small Profit,25%,40 - 90,35 - 87,90 - 139,90 - 139,138 - 138,139 - 139,138 - 138,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78
Small Profit,25%,40 - 90,35 - 87,90 - 139,90 - 139,138 - 197,198 - 198,138 - 197,40 - 90,35 - 87,30 - 84,25 - 81,20 - 78
