Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,56 - 75,47 - 71,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,56 - 75,47 - 71
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,56 - 75,47 - 71
Random,20%,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,56 - 75,47 - 71,38 - 67
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132
Random,20%,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,57 - 76,47 - 72,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,85 - 132,57 - 76,47 - 72
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,38 - 68,85 - 132,57 - 76,47 - 72
Random,20%,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,85 - 132,57 - 76,47 - 72,85 - 132,57 - 76,47 - 72,38 - 68
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133
Random,20%,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,57 - 76,48 - 73,86 - 133
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,86 - 133,57 - 76,48 - 73
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133
